MetroArea,GoodHealth,SeenDoctor12mo,CholestCheck,Exercise,Smoke,BingeDrink,City,Asthma
"San Jose-Sunnyvale-Santa Clara, California",85.1,65.6,78.7,39,14.1,19.9,San Jose,5.1
"Santa Ana-Anaheim-Irvine, California",86,64.5,78.5,35.2,10.8,19.1,,7.4
"Santa Fe, New Mexico",83.2,58.5,72.9,38.9,17.5,14.7,,8.4
"Scottsbluff, Nebraska",81.9,56.6,65.8,28.6,17.3,17.1,,9.7
"Scranton-Wilkes-Barre, Pennsylvania",81.8,73.2,85.1,32.6,27.4,20.8,,9.1
"Seaford, Delaware",81.4,79.6,85.7,28.8,21,17.3,,9.8
"Seattle-Bellevue-Everett, Washington†",87.1,60.5,74,33.5,14.5,20.4,Seattle,5
"Shreveport-Bossier City, Louisiana",78.8,73.6,73.2,24,28.7,20,,7.2
"Sioux City, Iowa-Nebraska-South Dakota",81.2,67.7,69,22.8,23.8,17.9,,5.7
"Sioux Falls, South Dakota",85.6,65.7,69.9,24,25.9,24.6,,7.3
"Spartanburg, South Carolina",82.6,60.9,71.4,26.6,25.1,14.9,,7.9
"Spearfish, South Dakota",84.2,58.5,69.5,27.2,28.2,18.3,,10.8
"Spokane, Washington",84.4,59.6,73.1,35.7,20.3,16.7,,14.1
"Springfield, Massachusetts",83.6,80.2,81.8,36.7,20.5,19,,9.2
"Tacoma, Washington†",83.5,65.7,70,31.5,20.7,13.8,,10.3
"Tallahassee, Florida",85.4,66.9,73.8,32.5,16.6,22.2,,9.5
"Tampa-St. Petersburg-Clearwater, Florida",78.8,68.8,81.2,36.7,22.1,18.9,,11.4
"Toledo, Ohio",82.1,67.3,70.8,35.1,23.7,25,,9.2
"Topeka, Kansas",84.5,66,74.6,26.8,25.6,17,,10.5
"Trenton-Ewing, New Jersey",84.2,78.1,82.1,32.6,18.5,20.4,,11.2
"Tucson, Arizona",83.5,65.3,74.2,34.9,18.7,16.4,Tucson,7.8
"Tulsa, Oklahoma",80.7,58.5,72.9,27.5,26.3,15.6,Tulsa,6.9
"Tuscaloosa, Alabama",80.9,77.7,76.8,21.4,23.8,16.1,,N/A§
"Tyler, Texas",84,56.8,72.1,30.3,15.1,7,,8.6
"Virginia Beach-Norfolk-Newport News, Virginia-North Carolina",82.4,78.8,77.3,31.5,24.1,22.7,Virginia Beach,8.8
"Warren-Troy-Farmington Hills, Michigan†",85.9,66.8,82.4,32.9,22.1,19.9,,7.9
"Washington-Arlington-Alexandria, District of Columbia-Virginia-Maryland-West Virginia†",88.2,72.5,79.7,32.5,16,18.2,Washington,4.2
"Watertown, South Dakota",84.4,63.5,74.7,21.2,30.4,23.5,,9.8
"Wichita, Kansas",83.9,70.9,73.8,25.5,22.9,15.4,Wichita,10.3
"Wilmington, Delaware-Maryland-New Jersey†",86.7,78.5,81.5,30.4,22.1,21,,10
"Worcester, Massachusetts",83.6,77.9,83,36.8,20.5,18.9,,10.4
"Youngstown-Warren-Boardman, Ohio-Pennsylvania",77.9,70.5,80.1,38.1,29.8,23.6,,8.8
