City,income,racaian,racasn,racblk,racsor,racwht,selfcare_diff,ind_liv_diff,amb_diff,is_medicare,is_va,public_assist_inc,ret_income,avg_schl,ss_income,age,disabled,is_insured,is_married,inc_pov_ratio,avg_weight,year,CO,NO2,O3,SO2,GoodHealth,SeenDoctor12mo,CholestCheck,Exercise,Smoke,BingeDrink,Asthma,CVDperCapita
San Antonio,23157.559337170074,0.014998828216545582,0.03249746113584876,0.06452620888993048,0.11545972970861651,0.8041559253183345,1.952789342214821,1.9128865476538874,1.9128865476538874,1.8216545582376378,1.9676587766580735,31.90517998244074,2246.8344551751047,14.964219066937119,2269.2010535557506,37.896648699320366,1.8378251699086008,1.1788922740410905,0.36872119365674555,266.14594550497634,104.75298804780877,2012,NA,NA,NA,NA,81.2,60.8,73.8,29.6,18.1,21.7,7.3,248.29999999999998
San Diego,29159.76781407586,0.017330550766718085,0.18537337809636148,0.07921241266672716,0.08275111151438164,0.6765266309772253,1.9711132437619963,1.941646855413875,1.941646855413875,1.8549133472461663,1.9711459940114326,78.20834233844823,2371.856926734385,16.293122886133034,1891.1804625027016,37.8578168950186,1.8892115053080483,1.159150712276563,0.36838762362762,298.24757979488163,108.70665093911623,2012,NA,NA,NA,NA,84,62.2,77.7,37.4,13.3,19,9,209.6
San Francisco,45144.25371267782,0.00943783340172343,0.3729995896594173,0.06784297633702639,0.055943099439201206,0.5404185473943373,1.9618135011441649,1.9362691890215538,1.9362691890215538,1.8280672958555602,1.9844070578580222,71.44518530004652,2022.7880291518065,17.15340350877193,1972.6019537912855,41.61687867596772,1.8870195595677746,1.08822322527698,0.35932157023662975,335.50210084033614,112.73683490630556,2012,NA,NA,NA,NA,85.3,64.3,79.1,38.6,11.7,20.8,8.6,192.8
San Jose,35307.49117079686,0.015304921120791147,0.3504826936661173,0.036260890040028255,0.11902519425476807,0.5243701436307983,1.9701080130620447,1.9424817518248174,1.9424817518248174,1.8582528843889805,1.9857546503414174,82.51678832116788,1734.268613138686,15.510581039755351,1919.0379562043795,37.92959736284436,1.9015775841770661,1.121262067341653,0.4221803626089004,332.58553813001316,95.91464563221098,2012,0.35027508815427,13.267825473829202,0.0209246391184573,0.33140488980716254,85.1,65.6,78.7,39,14.1,19.9,5.1,171.2
Seattle,40693.62946236559,0.017517704062616473,0.17517704062616474,0.06951174058889303,0.018449496831904586,0.7705926202012673,1.964747356051704,1.9400469383400896,1.9400469383400896,1.849608647036899,1.9852776742452478,55.05867292511201,2009.7290377640281,17.981356909475302,2213.7145295498185,39.50316809541558,1.8868803578084234,1.0944837868058144,0.3591129332836377,350.00734564224734,117.9129705553485,2012,NA,NA,NA,NA,87.1,60.5,74,33.5,14.5,20.4,5,195
Tucson,16377.012532789275,0.0327281414237936,0.03463927376970855,0.05852842809364549,0.1278069756330626,0.7787864309603441,1.9550533265617065,1.9123814995690893,1.9123814995690893,1.81820353559484,1.9596273291925466,53.97989083596668,2117.7477736282676,15.753475670307845,2691.2812410226948,38.61801242236025,1.8332537028189202,1.179168657429527,0.31653129479216435,225.38949229603435,103.83516483516483,2012,0.20585149669966996,13.389797627062705,0.026270125412541253,0.20128070627062705,83.5,65.3,74.2,34.9,18.7,16.4,7.8,223.9
Tulsa,27268.964715005815,0.13831127914303717,0.0258349086326402,0.09010712035286704,0.022684310018903593,0.8194706994328923,1.9598796389167503,1.92427701674277,1.92427701674277,1.8109640831758034,1.9773156899810964,25.5441400304414,1514.9543378995434,16.00783034257749,2937.8462709284627,39.59105229993699,1.8330182734719598,1.190611216131065,0.39477000630119724,284.87155658811815,116.37775677378701,2012,0.2106792,9.00014484,0.028784976296296297,0.6753360518518519,80.7,58.5,72.9,27.5,26.3,15.6,6.9,288.875
Virginia Beach,31089.031667302555,0.011970534069981584,0.07550644567219153,0.19889502762430938,0.019030079803560467,0.7492326580724371,1.9731763166503107,1.9440690690690692,1.9440690690690692,1.8422344996930633,1.9726826273787599,29.564564564564563,3503.9864864864867,16.36722983742429,2393.445945945946,38.52363413136894,1.8977900552486189,1.0960712093308778,0.41190914671577655,336.18124606670864,98.24616329036219,2012,NA,NA,NA,NA,82.4,78.8,77.3,31.5,24.1,22.7,8.8,214.9
Wichita,25968.44153764015,0.03063365505665128,0.04490138480906421,0.10155266470835082,0.0209819555182543,0.8325639949643306,1.953393665158371,1.9169732002101945,1.9169732002101945,1.8073856483424255,1.975660931598825,68.48660010509721,1651.045717288492,15.656755574989068,2926.0641093011036,38.894670583298364,1.83004616030214,1.1456147712966849,0.39697859840537136,281.55589788732397,119.00671422576585,2012,NA,NA,NA,NA,83.9,70.9,73.8,25.5,22.9,15.4,10.3,254.1
Albuquerque,25481.244767298696,0.0579020424350585,0.0380725758477097,0.04025381717231807,0.08625817965496728,0.8161808447352766,1.9588839941262848,1.9212827988338192,1.9212827988338192,1.800912155463018,1.9658933174697601,51.91933916423712,3118.9091350826043,15.970726714431935,3007.8425655976675,40.025976601229424,1.8417608566329566,1.1366250247868332,0.3846916517945667,287.16996127980434,128.98711084671822,2013,0.21493143654114366,11.7707440027894,0.03306059414225941,0.7893405188284519,83.7,58.5,72.7,32.4,22.4,17,10.6,210.4
Arlington,29277.570717131475,0.013008130081300813,0.04878048780487805,0.14634146341463414,0.032520325203252036,0.7780487804878049,1.9734133790737565,1.9403131115459882,1.9403131115459882,1.7861788617886178,1.9804878048780488,13.37573385518591,3039.4324853228964,16.351215423302598,3429.7455968688846,41.45040650406504,1.8666666666666667,1.1723577235772358,0.45365853658536587,322.98688524590165,97.18373983739838,2013,NA,NA,NA,NA,82.8,63,70.4,26.4,17.3,19.7,8.3,253.7
Atlanta,33502.041666666664,0.010069101678183614,0.050542941757156956,0.5324777887462981,0.015004935834155972,0.4207305034550839,1.9690700104493208,1.939379916705229,1.939379916705229,1.8473840078973347,1.9798617966436327,71.13604812586766,1717.6385932438686,17.020212331563904,1965.9856547894494,37.42665350444225,1.8669299111549853,1.16071076011846,0.2661401776900296,279.4206570753704,97.66673247778874,2013,NA,NA,NA,NA,84,70.1,77.8,32.1,17.8,17.9,9.4,236.9
Austin,39631.08264365098,0.012609490807584946,0.07835210318606219,0.0686302820290692,0.04629897006449129,0.8264510539994224,1.9784803671596125,1.9588146073970365,1.9588146073970365,1.8788141303301569,1.9804601020309944,17.681717419204293,2133.7241862093106,16.755294819528686,1864.9737486874344,36.7346231591106,1.9000866300895178,1.1465973625950525,0.39166426027529117,334.7655984825796,105.96313408412745,2013,0.09248236486486487,5.478937816816817,0.028418525525525526,0.4942541066066066,88,62.3,73.1,32.3,14.7,22.8,5.7,194.83333333333331
Baltimore,25660.83671843887,0.006940917555442695,0.03453529710512951,0.5923480616218046,0.01388183511088539,0.37887252412392075,1.9573934837092732,1.911150512214342,1.911150512214342,1.7970204841713222,1.9744371085153207,98.9913317572892,1639.4799054373523,16.171263966480446,2507.050827423168,40.4550533265617,1.8080243778567802,1.0937870323345185,0.25410529879803623,269.47434044091074,105.28237684103605,2013,NA,NA,NA,NA,84.3,77.3,83.5,26.8,21.7,20.1,9.6,404.7
Boston,34258.75255147717,0.01021039603960396,0.10751856435643564,0.24241955445544555,0.07301980198019802,0.6120049504950495,1.9676580529822851,1.93315649867374,1.93315649867374,1.8582920792079207,1.988706683168317,77.79310344827586,1273.000884173298,17.044809440280655,1720.420866489832,36.602413366336634,1.859529702970297,1.0379022277227723,0.2688737623762376,296.44618327247434,99.3643254950495,2013,0.2732709398868458,17.477490663366336,0.021589364922206505,1.0711304285714285,86,78.6,83.2,34.7,17.2,22.4,10.1,198
Charlotte,35959.22296858072,0.012780656303972366,0.050259067357512954,0.33385146804835925,0.04507772020725389,0.5886010362694301,1.9730077120822622,1.9438993174061434,1.9438993174061434,1.8601036269430051,1.9842832469775475,37.24829351535836,1427.2235494880547,16.088666428316053,2154.5435153583617,36.865630397236615,1.8808290155440415,1.1687392055267702,0.3521588946459413,294.24375,105.89620034542314,2013,0.2886447336647727,8.482232184659091,0.025435673295454545,0.2538279133522727,83.6,68.5,78,29,18.7,18.2,7.9,210.2
Chicago,30868.68911891918,0.007614817165067026,0.06750218132783374,0.30253034028714204,0.09494725152692948,0.5503688427064329,1.9661038359509875,1.9323495592180913,1.9323495592180913,1.8515903862933292,1.9859998413579758,62.95707167497125,1655.8619202759678,15.845347690284399,1968.968474511307,37.63127627508527,1.871499960339494,1.1662965019433649,0.3189497897993178,278.69443647246936,118.02597763147457,2013,NA,NA,NA,NA,82.2,63.9,73.7,31,19.5,23.5,7.7,233.4
