City,State,year,CO,NO2,O3,SO2
San Jose,California,2013,0.41156359452054797,15.274243931506849,0.0196816,0.2938227205479452
San Jose,California,2014,0.3527165205479452,13.074419871232877,0.02041753424657534,0.23541465479452056
Seattle,Washington,2013,0.18138862162162162,11.611419756756757,0.015162108108108108,1.0791548108108109
Seattle,Washington,2014,0.2083429761904762,8.862686761904762,0.029978190476190478,0.26370826190476193
Tucson,Arizona,2008,0.27150744505494506,13.410799521978022,0.02881160164835165,0.8586286978021977
Tucson,Arizona,2009,0.26805811506849314,12.328058309589041,0.028101893150684933,0.5095263273972602
Tucson,Arizona,2010,0.2523031567982456,12.09454808991228,0.027772875,0.45944379495614035
Tucson,Arizona,2011,0.18714211388888888,11.778930247222222,0.02926875,0.2708567083333333
Tucson,Arizona,2012,0.20585149669966996,13.389797627062705,0.026270125412541253,0.20128070627062705
Tucson,Arizona,2013,0.17437716301369863,10.998651073972603,0.028996375342465755,0.22313331643835616
Tucson,Arizona,2014,0.21014848395721925,11.346416784313725,0.026170525846702316,0.20839412121212122
Tulsa,Oklahoma,2008,0.3146451632653061,10.646988846938775,0.02353062244897959,0.9856382959183674
Tulsa,Oklahoma,2009,0.26151105017921145,8.645485953405018,0.0278624623655914,0.6906942329749104
Tulsa,Oklahoma,2010,0.2566249346405229,8.552552179738562,0.02665978431372549,0.6776970522875817
Tulsa,Oklahoma,2011,0.2756365948795181,8.941837201807228,0.030893746987951807,0.8194771159638554
Tulsa,Oklahoma,2012,0.2106792,9.00014484,0.028784976296296297,0.6753360518518519
Tulsa,Oklahoma,2013,0.20908350840336135,7.862299980392157,0.02772060224089636,0.47942274089635856
Tulsa,Oklahoma,2014,0.16571974918032786,7.234115567213115,0.02731355081967213,0.2757882901639344
